2020-21 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Norwood,02200000,"   2,751",   8.6,"      3,425",  49.8,  50.1,  12.7,  22.4,  31.6
Oak Bluffs,02210000,     198,  16.7,        448,  47.3,  52.7,  17.0,  23.7,  33.0
Old Colony Regional Vocational Technical,08550000,     248,  16.6,        553,  36.9,  62.9,   0.0,  22.4,  19.5
Old Rochester,07400000,"   1,240",   8.8,"      1,136",  46.3,  53.7,   0.1,  12.9,  15.7
Old Sturbridge Academy Charter Public School (District),35150000,       7,  40.0,        280,  48.9,  51.1,   3.2,  22.1,  34.6
Orange,02230000,     153,  15.4,        472,  48.1,  51.9,   1.3,  29.0,  64.8
Orleans,02240000,     190,  10.9,        174,  58.1,  42.0,   6.9,  21.8,  32.2
Oxford,02260000,     622,  16.5,"      1,488",  49.6,  50.1,   0.7,  18.3,  38.0
Palmer,02270000,     985,  14.7,"      1,208",  48.8,  51.1,   4.4,  19.1,  51.8
Pathfinder Regional Vocational Technical,08600000,     548,  11.3,        602,  37.4,  62.0,   0.2,  27.4,  37.7
Paulo Freire Social Justice Charter School (District),35010000,     184,  15.1,        250,  58.4,  41.6,   6.0,  23.6,  82.4
Peabody,02290000,"   2,964",  16.4,"      5,813",  49.6,  50.4,   9.1,  20.2,  38.7
Pelham,02300000,      43,  13.9,        102,  39.2,  59.8,   2.0,  21.6,  12.8
Pembroke,02310000,"   1,195",  16.9,"      2,620",  47.7,  52.3,   1.8,  17.4,  15.5
Pentucket,07450000,"   1,226",  16.3,"      2,191",  47.1,  52.9,   0.4,  22.4,  13.1
Petersham,02340000,      49,  15.9,        121,  51.2,  48.8,   1.7,  21.5,  35.5
Phoenix Academy Public Charter High School Lawrence (District),35180000,      46,   6.5,        156,  39.7,  60.3,  27.6,  24.4,  80.8
Phoenix Academy Public Charter High School Springfield (District),35080000,      12,  61.9,        201,  47.8,  52.2,  18.4,  25.9,  81.6
Phoenix Charter Academy (District),04930000,      30,  37.1,        216,  49.5,  50.5,  63.0,  11.6,  55.1
Pioneer Charter School of Science (District),04940000,     344,  19.2,        801,  52.2,  47.8,  17.7,   9.1,  45.1
Pioneer Charter School of Science II (PCSS-II) (District),35060000,     155,  18.4,        360,  53.6,  46.1,  17.2,  14.2,  33.9
Pioneer Valley,07500000,     406,  12.1,        631,  50.4,  49.6,   1.3,  23.1,  30.9
Pioneer Valley Chinese Immersion Charter (District),04970000,     308,  17.5,        558,  50.9,  48.9,   3.1,  12.2,  22.2
Pioneer Valley Performing Arts Charter Public (District),04790000,     298,  13.9,        403,  66.8,  32.8,   0.0,  22.6,  31.8
Pittsfield,02360000,"   2,269",  14.0,"      4,967",  48.8,  51.2,   5.4,  22.0,  58.6
Plainville,02380000,     124,  19.2,        632,  47.2,  52.9,   4.4,  21.0,  23.1
Plymouth,02390000,"   5,125",  15.3,"      7,102",  47.4,  52.6,   3.0,  20.3,  28.2
Plympton,02400000,     111,  14.7,        220,  47.3,  52.7,   0.5,  15.0,  16.4
Prospect Hill Academy Charter (District),04870000,     445,  18.3,"      1,105",  49.7,  50.3,  14.3,  15.9,  52.6
Provincetown,02420000,      52,  11.3,        147,  55.1,  44.9,  19.1,  17.0,  44.2
Quabbin,07530000,"   1,258",  14.4,"      2,116",  49.2,  50.6,   0.5,  19.6,  31.3
Quaboag Regional,07780000,     597,  14.7,"      1,128",  48.8,  51.1,   1.6,  20.2,  41.8
Quincy,02430000,"   6,287",  12.7,"      9,515",  47.6,  52.4,  15.6,  19.4,  40.6
Ralph C Mahar,07550000,     548,  15.3,        622,  49.2,  50.6,   0.5,  22.2,  47.9
Randolph,02440000,"   1,078",  13.6,"      2,696",  46.4,  53.6,  16.6,  20.9,  55.0
Reading,02460000,"   1,760",  16.7,"      3,980",  47.5,  52.4,   1.3,  18.5,   9.3
Revere,02480000,"   4,140",  15.6,"      7,294",  49.3,  50.7,  24.1,  15.8,  58.4
Richmond,02490000,     113,  14.7,        151,  50.3,  49.7,   0.0,  19.2,  29.1
Rising Tide Charter Public (District),04830000,     303,  20.0,        668,  49.6,  50.0,   1.2,  21.4,  16.6
River Valley Charter (District),04820000,     146,  11.7,        286,  52.8,  47.2,   0.0,  16.8,   8.0
Rochester,02500000,     367,  16.8,        493,  47.9,  52.1,   0.4,  21.7,  20.3
Rockland,02510000,"   1,446",  14.4,"      2,211",  48.3,  51.7,   8.2,  18.6,  43.2
Rockport,02520000,     459,  14.7,        770,  47.7,  52.3,   0.7,  22.9,  22.7
Rowe,02530000,      21,  16.1,         63,  49.2,  50.8,   0.0,  33.3,  42.9
Roxbury Preparatory Charter (District),04840000,     335,  29.9,"      1,589",  47.1,  52.9,  14.1,  15.7,  70.3
Sabis International Charter (District),04410000,     446,  27.0,"      1,565",  50.8,  49.2,  10.0,  15.9,  47.9
Salem,02580000,"   2,245",  13.5,"      3,772",  48.6,  51.4,  14.1,  20.9,  56.4
Salem Academy Charter (District),04850000,     250,  19.0,        491,  51.1,  48.5,   3.3,  19.6,  40.9
Sandwich,02610000,"   1,367",  15.6,"      2,351",  50.6,  49.3,   1.5,  20.5,  20.3
Saugus,02620000,"   1,099",  17.0,"      2,425",  48.0,  51.8,   7.1,  16.5,  39.4
Savoy,02630000,      61,   5.7,         45,  42.2,  57.8,   0.0,  22.2,  44.4
Scituate,02640000,"   1,470",  18.2,"      2,879",  49.5,  50.5,   0.4,  15.6,  10.8
Seekonk,02650000,     863,  15.7,"      2,014",  49.6,  50.3,   2.5,  18.9,  16.1
Sharon,02660000,"   1,529",  19.0,"      3,520",  48.9,  51.0,   3.2,  14.4,   9.7
Shawsheen Valley Regional Vocational Technical,08710000,     717,  16.3,"      1,302",  39.2,  60.8,   0.1,  27.9,  16.9
Sherborn,02690000,     217,  15.7,        391,  51.4,  48.6,   3.3,  15.6,   6.9
Shrewsbury,02710000,"   2,551",  18.2,"      6,046",  50.0,  50.0,   2.9,  14.1,  14.5
Shutesbury,02720000,      55,  14.8,        116,  58.6,  41.4,   0.0,  20.7,  35.3
Silver Lake,07600000,     814,  18.9,"      1,729",  47.3,  52.5,   1.2,  18.5,  19.0
Sizer School: A North Central Charter Essential (District),04740000,     234,  13.0,        370,  44.1,  55.7,   3.0,  27.3,  43.5
Somerset,02730000,     939,  18.4,"      1,623",  48.0,  51.9,   1.1,  18.2,  27.5
Somerset Berkley Regional School District,07630000,     448,  18.0,"      1,007",  50.7,  49.3,   0.1,  14.9,  17.8
Somerville,02740000,"   2,366",  12.3,"      4,624",  47.4,  52.3,  18.5,  19.9,  46.2
South Hadley,02780000,     697,  17.4,"      1,788",  50.6,  49.3,   4.5,  19.0,  30.9
South Middlesex Regional Vocational Technical,08290000,     761,  12.6,        815,  41.7,  57.6,  17.9,  39.5,  50.2
South Shore Charter Public (District),04880000,     534,  15.3,"      1,013",  49.0,  50.6,  11.8,  20.0,  27.6
South Shore Regional Vocational Technical,08730000,     247,  15.0,        637,  32.7,  67.4,   0.8,  26.2,  24.2
Southampton,02750000,     173,  15.1,        460,  45.9,  54.1,   1.7,  26.5,  17.6
Southborough,02760000,     501,  14.9,"      1,243",  48.0,  52.0,   7.1,  16.9,   7.5
Southbridge,02770000,     895,  15.7,"      1,886",  48.2,  51.8,  19.8,  21.6,  77.7
Southeastern Regional Vocational Technical,08720000,"   1,408",   8.2,"      1,527",  52.3,  47.6,   3.6,  13.8,  38.8
Southern Berkshire,07650000,     470,  12.1,        655,  49.9,  50.1,   2.9,  13.9,  37.4
Southern Worcester County Regional Vocational Technical,08760000,     993,  13.5,"      1,168",  41.9,  58.1,   0.9,  13.4,  27.3
Southwick-Tolland-Granville Regional School District,07660000,     774,  14.4,"      1,403",  49.8,  50.2,   3.4,  17.7,  26.8
Spencer-E Brookfield,07670000,     469,  15.5,"      1,353",  46.3,  53.7,   4.0,  21.2,  44.4
Springfield,02810000,"  21,372",  11.5,"     24,098",  48.2,  51.8,  16.4,  24.5,  82.2
Springfield Preparatory Charter School (District),35100000,      87,  32.5,        374,  48.4,  51.6,  16.0,  20.3,  70.9
Stoneham,02840000,"   1,483",  13.4,"      2,288",  49.1,  50.8,   3.7,  20.3,  20.0
Stoughton,02850000,"   1,941",  16.0,"      3,436",  48.0,  52.0,   7.7,  16.9,  39.1
Sturbridge,02870000,     295,  17.7,        809,  45.7,  54.3,   3.7,  16.7,  18.5
Sturgis Charter Public (District),04890000,     453,  14.1,        853,  57.7,  42.2,   1.4,  15.8,  15.4
Sudbury,02880000,"   1,918",  15.2,"      2,547",  48.1,  51.8,   2.2,  20.6,   7.0
Sunderland,02890000,     153,  13.3,        190,  47.4,  52.1,   7.4,  21.1,  41.1
Sutton,02900000,     463,  17.4,"      1,258",  49.1,  50.8,   2.1,  17.3,  15.7
Swampscott,02910000,"   1,208",  16.8,"      2,134",  48.9,  51.1,   5.3,  18.9,  18.4
Swansea,02920000,"   1,786",   8.9,"      2,013",  48.8,  51.2,   0.4,  11.8,  23.3
TEC Connections Academy Commonwealth Virtual School District,39020000,     592,  45.8,"      2,661",  56.4,  43.6,   1.2,  18.8,  44.9
Tantasqua,07700000,"   1,186",  14.8,"      1,776",  48.5,  51.4,   0.7,  11.2,  23.1
Taunton,02930000,"   3,299",  19.4,"      7,861",  49.0,  51.1,   6.1,  20.1,  52.3
Tewksbury,02950000,"   1,487",  17.9,"      3,221",  50.1,  49.8,   2.3,  17.8,  18.2
Tisbury,02960000,     205,  13.8,        292,  47.6,  52.4,  26.0,  18.2,  43.8
Topsfield,02980000,     204,  15.1,        585,  50.3,  49.7,   0.3,  19.5,   4.8
Tri-County Regional Vocational Technical,08780000,     569,  16.6,        946,  38.4,  61.2,   0.2,  31.0,  20.8
Triton,07730000,"   1,124",  16.9,"      2,198",  48.7,  51.3,   1.2,  17.7,  26.2
Truro,03000000,      61,  15.4,        113,  48.7,  51.3,   0.0,  17.7,  38.1
Tyngsborough,03010000,     966,  17.6,"      1,604",  49.4,  50.6,   5.2,  19.4,  20.1
UP Academy Charter School of Boston (District),04800000,     138,  22.1,        364,  47.3,  52.8,  24.5,  27.8,  80.0
UP Academy Charter School of Dorchester (District),35050000,     138,  31.9,        722,  50.4,  49.6,  33.1,  15.4,  75.8
Up-Island Regional,07740000,     147,  14.1,        413,  46.5,  53.3,   4.6,  18.9,  24.0
Upper Cape Cod Regional Vocational Technical,08790000,     346,  14.1,        708,  38.7,  61.3,   0.0,  25.6,  33.6
Uxbridge,03040000,     859,  16.0,"      1,598",  45.5,  54.5,   1.8,  17.9,  24.2
Veritas Preparatory Charter School (District),04980000,      75,  27.0,        405,  53.6,  46.4,   4.7,  23.2,  79.8
Wachusett,07750000,"   3,032",  18.0,"      6,656",  49.5,  50.5,   1.9,  14.8,  13.8
Wakefield,03050000,"   1,476",  16.1,"      3,331",  49.0,  51.0,   2.5,  16.9,  14.6
Wales,03060000,      41,  16.2,        129,  45.0,  55.0,   0.8,  18.6,  44.2
Walpole,03070000,"   1,502",  15.3,"      3,659",  50.0,  49.9,   3.8,  14.4,  13.2
Waltham,03080000,"   3,761",  13.5,"      5,549",  47.8,  52.1,  22.5,  16.7,  42.3
Ware,03090000,     409,  18.9,"      1,168",  49.1,  50.9,   1.7,  20.8,  58.8
Wareham,03100000,"   1,319",  13.5,"      2,052",  50.9,  49.0,   1.4,  26.2,  59.2
Watertown,03140000,"   1,827",  12.5,"      2,552",  47.9,  52.1,  14.4,  20.0,  32.6
Wayland,03150000,"   1,372",  16.3,"      2,718",  50.4,  49.6,   3.5,  18.6,   7.3
Webster,03160000,     823,  17.2,"      1,679",  47.6,  52.4,  12.0,  22.6,  64.0
Wellesley,03170000,"   2,523",  14.8,"      4,442",  50.5,  49.4,   1.9,  17.0,   7.1
Wellfleet,03180000,      88,  11.7,         99,  46.5,  53.5,   1.0,  15.2,  29.3
West Boylston,03220000,     617,  13.9,        895,  51.1,  48.9,   3.4,  18.0,  24.9
West Bridgewater,03230000,     870,  18.7,"      1,414",  49.7,  50.4,   2.0,  10.7,  20.8
West Springfield,03320000,"   2,374",  10.7,"      3,917",  48.6,  51.4,  10.2,  18.3,  50.7
Westborough,03210000,"   1,998",  15.8,"      3,845",  49.6,  50.4,  11.5,  15.3,  12.6
Westfield,03250000,"   2,697",  16.0,"      4,927",  48.5,  51.5,   5.4,  21.8,  42.6
Westford,03260000,"   3,064",  12.6,"      4,759",  49.9,  50.0,   2.2,  16.1,   7.7
Westhampton,03270000,      65,  12.7,        110,  41.8,  58.2,   0.0,  27.3,  26.4
Weston,03300000,"   1,040",  14.2,"      1,905",  49.1,  50.8,   3.6,  17.1,   6.6
Westport,03310000,     846,  15.2,"      1,379",  47.0,  52.9,   1.2,  19.4,  29.2
Westwood,03350000,"   1,799",  13.0,"      2,970",  48.5,  51.5,   0.9,  19.4,   6.4
Weymouth,03360000,"   2,754",  17.4,"      5,698",  49.6,  50.4,   5.9,  20.7,  35.7
Whately,03370000,      87,  14.3,        116,  50.9,  49.1,   2.6,  12.1,  19.8
Whitman-Hanson,07800000,"   1,394",  17.5,"      3,611",  48.7,  51.3,   0.9,  17.3,  24.0
Whittier Regional Vocational Technical,08850000,     742,  12.6,"      1,236",  47.0,  53.0,   1.3,  19.1,  34.6
Williamsburg,03400000,      69,  12.5,        117,  47.0,  53.0,   0.9,  15.4,  31.6
Wilmington,03420000,"   1,859",  14.9,"      2,846",  49.1,  50.8,   1.1,  15.3,  12.5
Winchendon,03430000,     405,  17.8,"      1,191",  46.3,  53.7,   1.4,  23.9,  50.0
Winchester,03440000,"   3,451",  12.8,"      4,493",  49.9,  50.0,   3.1,  16.7,   5.6
Winthrop,03460000,     661,  20.6,"      1,847",  50.6,  49.3,   7.2,  16.4,  32.2
Woburn,03470000,"   2,985",  13.8,"      4,332",  50.2,  49.7,   8.4,  17.9,  33.7
Worcester,03480000,"  11,791",  14.1,"     20,660",  48.8,  51.2,  26.8,  20.6,  63.7
Worthington,03490000,      60,   6.0,         58,  50.0,  50.0,   0.0,  25.9,  36.2
Wrentham,03500000,     404,  18.4,        893,  50.1,  49.9,   2.8,  19.9,  10.9
State Totals,00000000," 502,941",  15.5,"    912,474",  48.6,  51.3,  10.5,  18.8,  37.3
