2015Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Freetown-Lakeville,06650000,"          $32,997,022.00","           2,840.6","              $11,616.22","          $35,486,944.00","           2,911.7","              $12,187.71",
Frontier,06700000,"          $10,270,124.00",             605.1,"              $16,972.61","          $12,095,717.00",             694.5,"              $17,416.44",
Gardner,01030000,"          $30,664,178.00","           2,426.3","              $12,638.25","          $33,371,500.00","           2,663.3","              $12,530.13",
Gateway,06720000,"          $14,950,607.00",             942.1,"              $15,869.45","          $16,643,616.00","           1,085.1","              $15,338.32",
Georgetown,01050000,"          $17,682,929.00","           1,469.0","              $12,037.39","          $19,067,349.00","           1,513.1","              $12,601.51",
Gill-Montague,06740000,"          $17,186,608.00",             969.9,"              $17,719.98","          $20,028,198.00","           1,279.0","              $15,659.26",
Gloucester,01070000,"          $46,955,725.00","           2,923.5","              $16,061.48","          $52,818,348.00","           3,287.6","              $16,065.93",
Grafton,01100000,"          $33,610,678.00","           3,119.1","              $10,775.76","          $35,806,306.00","           3,242.4","              $11,043.15",
Granby,01110000,"           $9,880,961.00",             874.7,"              $11,296.40","          $11,445,000.00",             959.1,"              $11,933.06",
Greater Fall River Regional Vocational Technical,08210000,"          $26,115,935.00","           1,442.7","              $18,102.12","          $26,123,485.00","           1,444.2","              $18,088.55",
Greater Lawrence Regional Vocational Technical,08230000,"          $29,269,032.00","           1,314.9","              $22,259.51","          $30,053,279.00","           1,461.9","              $20,557.68",
Greater Lowell Regional Vocational Technical,08280000,"          $40,613,611.00","           2,122.9","              $19,131.19","          $40,760,200.00","           2,150.7","              $18,952.06",
Greater New Bedford Regional Vocational Technical,08250000,"          $39,087,442.00","           2,092.3","              $18,681.57","          $39,097,442.00","           2,094.3","              $18,668.50",
Greenfield,01140000,"          $25,326,419.00","           1,676.7","              $15,104.92","          $31,243,842.00","           2,148.3","              $14,543.52",
Groton-Dunstable,06730000,"          $31,847,802.00","           2,547.2","              $12,503.06","          $35,027,299.00","           2,642.8","              $13,253.86",
Hadley,01170000,"           $7,559,519.00",             617.6,"              $12,240.15","           $9,355,813.00",             745.3,"              $12,553.08",
Halifax,01180000,"           $6,117,425.00",             562.5,"              $10,875.42","           $8,189,957.00",             589.6,"              $13,890.70",
Hamilton-Wenham,06750000,"          $27,630,413.00","           1,845.0","              $14,975.83","          $30,109,157.00","           1,887.0","              $15,956.10",
Hampden-Wilbraham,06800000,"          $42,314,597.00","           3,196.1","              $13,239.45","          $45,111,006.00","           3,261.9","              $13,829.67",
Hampshire,06830000,"          $12,241,543.00",             747.0,"              $16,387.61","          $13,696,426.00",             847.6,"              $16,159.07",
Hancock,01210000,"             $697,550.00",              41.8,"              $16,687.80","           $1,132,413.00",              87.7,"              $12,912.35",
Hanover,01220000,"          $31,815,643.00","           2,630.5","              $12,094.90","          $33,504,981.00","           2,686.0","              $12,473.93",
Harvard,01250000,"          $17,362,768.00","           1,149.6","              $15,103.31","          $18,964,549.00","           1,200.4","              $15,798.53",
Hatfield,01270000,"           $5,920,003.00",             451.6,"              $13,108.95","           $6,863,524.00",             507.6,"              $13,521.52",
Haverhill,01280000,"          $89,717,599.00","           7,202.0","              $12,457.32","         $104,197,348.00","           8,470.6","              $12,301.06",
Hawlemont,06850000,"           $1,891,643.00",             108.2,"              $17,482.84","           $2,040,849.00",             128.7,"              $15,857.41",
Hingham,01310000,"          $49,441,994.00","           4,265.1","              $11,592.22","          $53,492,485.00","           4,325.2","              $12,367.63",
Holbrook,01330000,"          $14,954,903.00","           1,169.7","              $12,785.25","          $18,372,603.00","           1,243.0","              $14,780.85",
Holland,01350000,"           $2,791,540.00",             239.4,"              $11,660.57","           $3,238,170.00",             241.4,"              $13,414.13",
Holliston,01360000,"          $34,833,779.00","           2,820.3","              $12,351.09","          $38,995,616.00","           2,900.1","              $13,446.30",
Holyoke,01370000,"          $87,494,476.00","           5,459.3","              $16,026.68","         $105,351,980.00","           6,692.3","              $15,742.27",
Hopedale,01380000,"          $14,125,076.00","           1,221.0","              $11,568.45","          $15,284,889.00","           1,291.3","              $11,836.82",
Hopkinton,01390000,"          $44,805,357.00","           3,425.3","              $13,080.71","          $47,411,094.00","           3,502.9","              $13,534.81",
Hudson,01410000,"          $39,836,599.00","           2,853.1","              $13,962.57","          $44,001,825.00","           3,006.2","              $14,637.03",
Hull,01420000,"          $17,437,822.00","           1,023.1","              $17,044.10","          $19,208,079.00","           1,087.0","              $17,670.73",
Ipswich,01440000,"          $25,312,753.00","           1,893.5","              $13,368.23","          $27,470,249.00","           1,952.5","              $14,069.27",
King Philip,06900000,"          $25,685,405.00","           2,075.4","              $12,376.12","          $29,902,417.00","           2,153.8","              $13,883.56",
Kingston,01450000,"          $10,258,871.00","           1,067.1","               $9,613.79","          $13,969,280.00","           1,115.5","              $12,522.89",
Lanesborough,01480000,"           $3,822,442.00",             215.5,"              $17,737.55","           $3,951,049.00",             237.8,"              $16,615.01",
Lawrence,01490000,"         $195,428,938.00","          13,845.2","              $14,115.28","         $224,274,995.00","          15,494.3","              $14,474.68",
Lee,01500000,"          $12,187,653.00",             684.3,"              $17,810.40","          $13,011,086.00",             787.7,"              $16,517.82",
Leicester,01510000,"          $18,809,544.00","           1,601.0","              $11,748.62","          $22,159,567.00","           1,736.4","              $12,761.79",
Lenox,01520000,"          $13,359,389.00",             731.1,"              $18,273.00","          $13,808,007.00",             787.8,"              $17,527.30",
Leominster,01530000,"          $77,811,818.00","           6,061.3","              $12,837.48","          $87,406,562.00","           6,568.8","              $13,306.32",
Leverett,01540000,"           $2,570,716.00",             133.5,"              $19,256.30","           $2,628,632.00",             141.8,"              $18,537.60",
Lexington,01550000,"         $114,804,091.00","           6,777.3","              $16,939.50","         $122,838,861.00","           6,875.3","              $17,866.69",
Lincoln,01570000,"          $24,890,257.00","           1,201.3","              $20,719.44","          $25,503,543.00","           1,218.1","              $20,937.15",
Lincoln-Sudbury,06950000,"          $25,442,975.00","           1,575.3","              $16,151.19","          $30,429,519.00","           1,640.4","              $18,550.06",
Littleton,01580000,"          $20,077,280.00","           1,597.0","              $12,571.87","          $24,069,858.00","           1,720.5","              $13,990.04",
Longmeadow,01590000,"          $38,245,053.00","           2,866.5","              $13,342.07","          $42,083,006.00","           2,925.4","              $14,385.39",
Lowell,01600000,"         $189,508,868.00","          13,957.2","              $13,577.86","         $215,167,914.00","          15,534.4","              $13,851.06",
Ludlow,01610000,"          $37,174,879.00","           2,683.2","              $13,854.68","          $39,738,271.00","           2,779.5","              $14,296.91",
Lunenburg,01620000,"          $18,017,702.00","           1,563.3","              $11,525.43","          $21,420,287.00","           1,724.1","              $12,424.04",
Lynn,01630000,"         $199,820,605.00","          14,935.1","              $13,379.26","         $222,809,017.00","          16,274.5","              $13,690.68",
Lynnfield,01640000,"          $29,910,445.00","           2,194.8","              $13,627.87","          $30,791,625.00","           2,215.3","              $13,899.53",
Malden,01650000,"          $84,350,192.00","           6,515.1","              $12,946.88","         $102,293,674.00","           7,497.7","              $13,643.34",
Manchester Essex Regional,06980000,"          $22,025,672.00","           1,488.8","              $14,794.24","          $23,363,832.00","           1,525.7","              $15,313.52",
Mansfield,01670000,"          $54,639,636.00","           4,125.9","              $13,243.08","          $59,489,337.00","           4,313.8","              $13,790.47",
Marblehead,01680000,"          $43,533,564.00","           3,223.8","              $13,503.80","          $46,942,856.00","           3,432.0","              $13,677.99",
Marion,01690000,"           $6,444,517.00",             432.4,"              $14,904.06","           $7,083,248.00",             443.3,"              $15,978.45",
Marlborough,01700000,"          $68,631,655.00","           4,561.0","              $15,047.50","          $82,001,065.00","           5,175.8","              $15,843.17",
Marshfield,01710000,"          $50,790,711.00","           4,205.3","              $12,077.79","          $54,910,490.00","           4,320.6","              $12,709.00",
Martha's Vineyard,07000000,"          $18,527,334.00",             675.3,"              $27,435.71","          $19,950,936.00",             722.5,"              $27,613.75",
Masconomet,07050000,"          $27,530,037.00","           1,946.6","              $14,142.63","          $30,708,750.00","           1,991.2","              $15,422.23",
Mashpee,01720000,"          $27,664,321.00","           1,677.8","              $16,488.45","          $30,457,805.00","           1,812.5","              $16,804.31",
Mattapoisett,01730000,"           $7,465,476.00",             501.5,"              $14,886.29","           $8,237,393.00",             520.8,"              $15,816.81",
Maynard,01740000,"          $20,344,084.00","           1,418.3","              $14,343.99","          $22,071,030.00","           1,507.4","              $14,641.79",
Medfield,01750000,"          $34,543,000.00","           2,590.7","              $13,333.46","          $36,401,068.00","           2,628.5","              $13,848.61",
Medford,01760000,"          $68,977,068.00","           4,435.9","              $15,549.73","          $78,038,611.00","           4,875.6","              $16,005.95",
Medway,01770000,"          $29,585,243.00","           2,394.9","              $12,353.44","          $33,272,107.00","           2,500.2","              $13,307.78",
Melrose,01780000,"          $42,683,658.00","           3,691.8","              $11,561.75","          $48,322,101.00","           4,007.6","              $12,057.62",
Mendon-Upton,07100000,"          $30,003,449.00","           2,326.6","              $12,895.83","          $33,688,325.00","           2,451.4","              $13,742.48",
Methuen,01810000,"          $83,077,048.00","           6,952.0","              $11,950.09","          $91,906,075.00","           7,175.5","              $12,808.32",
Middleborough,01820000,"          $40,391,350.00","           3,102.8","              $13,017.71","          $43,495,874.00","           3,218.3","              $13,515.17",
Middleton,01840000,"          $11,192,145.00",             752.6,"              $14,871.31","          $11,403,313.00",             756.6,"              $15,071.79",
Milford,01850000,"          $52,753,782.00","           4,125.0","              $12,788.80","          $58,587,950.00","           4,392.0","              $13,339.70",
Millbury,01860000,"          $23,873,807.00","           1,694.2","              $14,091.49","          $26,210,412.00","           1,748.6","              $14,989.37",
Millis,01870000,"          $17,611,668.00","           1,369.4","              $12,860.86","          $19,250,038.00","           1,427.0","              $13,489.87",
Milton,01890000,"          $52,815,276.00","           3,991.6","              $13,231.61","          $57,404,225.00","           4,066.5","              $14,116.37",
Minuteman Regional Vocational Technical,08300000,"          $19,070,082.00",             675.6,"              $28,226.88","          $19,108,066.00",             677.4,"              $28,207.95",
Mohawk Trail,07170000,"          $17,222,013.00",             958.0,"              $17,977.05","          $18,907,007.00","           1,080.9","              $17,491.91",
Monomoy Regional School District,07120000,"          $31,820,778.00","           1,918.4","              $16,587.14","          $35,002,203.00","           2,190.4","              $15,979.82",
Monson,01910000,"          $14,672,020.00","           1,085.6","              $13,515.13","          $15,930,113.00","           1,141.5","              $13,955.42",
Montachusett Regional Vocational Technical,08320000,"          $26,500,439.00","           1,416.0","              $18,715.00","          $26,780,881.00","           1,465.4","              $18,275.47",
Mount Greylock,07150000,"           $9,978,512.00",             540.6,"              $18,458.22","          $11,343,701.00",             578.0,"              $19,625.78",
Nahant,01960000,"           $2,395,718.00",             174.6,"              $13,721.18","           $4,449,454.00",             312.9,"              $14,220.05",
Nantucket,01970000,"          $30,805,350.00","           1,525.0","              $20,200.23","          $31,848,455.00","           1,535.9","              $20,736.02",
Narragansett,07200000,"          $16,829,166.00","           1,343.9","              $12,522.63","          $19,257,524.00","           1,516.7","              $12,696.99",
Nashoba,07250000,"          $47,909,135.00","           3,449.3","              $13,889.52","          $51,433,285.00","           3,605.8","              $14,264.04",
Nashoba Valley Regional Vocational Technical,08520000,"          $12,453,471.00",             727.8,"              $17,111.12","          $12,510,259.00",             734.6,"              $17,030.03",
Natick,01980000,"          $69,190,439.00","           5,339.4","              $12,958.47","          $77,524,672.00","           5,520.1","              $14,044.07",
Nauset,06600000,"          $26,732,670.00","           1,515.6","              $17,638.34","          $30,310,280.00","           1,653.9","              $18,326.55",
Needham,01990000,"          $83,361,035.00","           5,534.6","              $15,061.80","          $89,453,468.00","           5,625.9","              $15,900.29",
New Bedford,02010000,"         $162,843,598.00","          12,564.2","              $12,960.92","         $178,411,852.00","          13,572.9","              $13,144.71",
New Salem-Wendell,07280000,"           $2,344,160.00",             151.8,"              $15,442.42","           $2,395,329.00",             161.0,"              $14,877.82",
Newburyport,02040000,"          $32,063,440.00","           2,340.1","              $13,701.74","          $36,564,242.00","           2,581.3","              $14,165.05",
Newton,02070000,"         $214,556,729.00","          12,506.2","              $17,156.03","         $229,048,527.00","          12,657.2","              $18,096.30",
Norfolk,02080000,"          $13,029,628.00",             890.8,"              $14,626.88","          $13,460,339.00",             903.5,"              $14,898.00",
Norfolk County Agricultural,09150000,"          $10,879,727.00",             485.9,"              $22,390.88","          $10,879,727.00",             485.9,"              $22,390.88",
North Adams,02090000,"          $22,778,512.00","           1,469.7","              $15,498.75","          $25,859,437.00","           1,659.4","              $15,583.61",
North Andover,02110000,"          $51,508,125.00","           4,764.6","              $10,810.59","          $58,686,871.00","           4,868.3","              $12,054.90",
North Attleborough,02120000,"          $49,054,819.00","           4,557.4","              $10,763.77","          $52,964,675.00","           4,710.0","              $11,245.15",
North Brookfield,02150000,"           $8,033,517.00",             570.2,"              $14,088.95","           $9,398,865.00",             703.9,"              $13,352.56",
North Middlesex,07350000,"          $42,239,130.00","           3,269.8","              $12,917.96","          $48,391,625.00","           3,516.4","              $13,761.70",
North Reading,02170000,"          $34,140,231.00","           2,546.2","              $13,408.31","          $36,560,937.00","           2,586.1","              $14,137.48",
Northampton,02100000,"          $36,138,824.00","           2,664.6","              $13,562.57","          $41,896,329.00","           2,980.5","              $14,056.81",
Northampton-Smith Vocational Agricultural,04060000,"           $9,889,064.00",             425.4,"              $23,246.51","           $9,889,064.00",             425.4,"              $23,246.51",
Northboro-Southboro,07300000,"          $21,367,476.00","           1,421.7","              $15,029.52","          $22,168,602.00","           1,459.4","              $15,190.22",
Northborough,02130000,"          $25,318,892.00","           1,797.9","              $14,082.48","          $27,422,202.00","           1,846.8","              $14,848.50",
Northbridge,02140000,"          $28,488,861.00","           2,410.6","              $11,818.16","          $31,856,742.00","           2,561.4","              $12,437.24",
Northeast Metropolitan Regional Vocational Technical,08530000,"          $25,150,695.00","           1,238.4","              $20,309.02","          $25,150,695.00","           1,238.4","              $20,309.02",
Northern Berkshire Regional Vocational Technical,08510000,"           $9,828,005.00",             496.6,"              $19,790.59","           $9,868,005.00",             500.6,"              $19,712.36",
Norton,02180000,"          $30,966,641.00","           2,551.7","              $12,135.69","          $36,671,000.00","           2,774.2","              $13,218.59",
Norwell,02190000,"          $30,359,097.00","           2,234.8","              $13,584.70","          $32,569,861.00","           2,269.3","              $14,352.38",
Norwood,02200000,"          $49,332,375.00","           3,426.8","              $14,396.05","          $54,430,719.00","           3,516.3","              $15,479.54",
Oak Bluffs,02210000,"           $8,441,362.00",             407.2,"              $20,730.26","           $9,197,513.00",             466.1,"              $19,732.92",
Old Colony Regional Vocational Technical,08550000,"          $10,735,271.00",             556.5,"              $19,290.69","          $10,735,271.00",             556.5,"              $19,290.69",
Old Rochester,07400000,"          $17,755,505.00","           1,253.6","              $14,163.61","          $17,833,924.00","           1,264.9","              $14,099.08",
Orange,02230000,"           $8,226,564.00",             640.9,"              $12,835.96","           $8,861,895.00",             714.0,"              $12,411.62",
Orleans,02240000,"           $4,639,691.00",             221.9,"              $20,908.93","           $4,894,878.00",             235.5,"              $20,785.05",
Oxford,02260000,"          $23,724,025.00","           1,839.3","              $12,898.40","          $25,766,304.00","           1,963.0","              $13,125.98",
Palmer,02270000,"          $18,731,713.00","           1,425.5","              $13,140.45","          $21,655,385.00","           1,533.7","              $14,119.70",
Pathfinder Regional Vocational Technical,08600000,"          $13,681,566.00",             603.4,"              $22,674.12","          $13,772,441.00",             616.4,"              $22,343.35",
Peabody,02290000,"          $74,997,126.00","           5,993.4","              $12,513.29","          $83,556,463.00","           6,191.3","              $13,495.79",
Pelham,02300000,"           $2,180,029.00",             122.6,"              $17,781.64","           $2,214,054.00",             128.0,"              $17,297.30",
Pembroke,02310000,"          $35,108,533.00","           3,201.2","              $10,967.30","          $37,867,880.00","           3,302.2","              $11,467.47",
Pentucket,07450000,"          $35,564,620.00","           2,680.7","              $13,266.92","          $38,541,574.00","           2,778.9","              $13,869.36",
