2021Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Bristol County Agricultural,09100000,"           $9,380,882.90",             440.7,"              $21,286.32","           $9,380,882.90",             440.7,"              $21,286.32",
Bristol-Plymouth Regional Vocational Technical,08100000,"          $26,633,842.00","           1,316.8","              $20,226.19","          $26,722,767.00","           1,331.5","              $20,069.67",
Brockton,00440000,"         $260,837,443.86","          15,187.2","              $17,174.82","         $290,538,465.60","          17,022.8","              $17,067.61",
Brooke Charter School (District),04280000,"          $43,413,419.80","           2,062.9","              $21,044.44","          $43,413,419.80","           2,062.9","              $21,044.44",
Brookfield,00450000,"           $4,268,700.00",             263.4,"              $16,206.15","           $4,576,472.00",             276.2,"              $16,569.41",
Brookline,00460000,"         $168,842,948.00","           6,813.9","              $24,779.19","         $177,233,585.00","           6,899.0","              $25,689.75",
Burlington,00480000,"          $74,246,080.55","           3,396.7","              $21,858.30","          $85,132,134.55","           3,519.0","              $24,192.14",
Cambridge,00490000,"         $222,130,862.93","           6,620.0","              $33,554.51","         $256,045,590.40","           7,291.9","              $35,113.70",
Canton,00500000,"          $57,913,000.69","           3,168.2","              $18,279.46","          $65,266,920.66","           3,261.3","              $20,012.55",
Cape Cod Lighthouse Charter (District),04320000,"           $5,072,494.68",             254.1,"              $19,965.74","           $5,072,494.68",             254.1,"              $19,965.74",
Cape Cod Regional Vocational Technical,08150000,"          $16,021,699.40",             622.2,"              $25,750.08","          $16,072,999.40",             629.2,"              $25,545.14",
Carlisle,00510000,"          $12,161,747.92",             586.1,"              $20,750.30","          $12,815,176.78",             598.0,"              $21,430.06",
Carver,00520000,"          $25,366,742.56","           1,478.7","              $17,154.76","          $28,339,212.02","           1,579.9","              $17,937.35",
Central Berkshire,06350000,"          $26,453,682.00","           1,521.6","              $17,385.44","          $30,068,881.00","           1,757.7","              $17,106.95",
Chelmsford,00560000,"          $79,321,122.12","           4,827.8","              $16,430.08","          $87,134,606.12","           5,068.0","              $17,193.10",
Chelsea,00570000,"         $104,629,062.04","           5,952.9","              $17,576.15","         $135,108,333.55","           7,137.6","              $18,929.10",
Chesterfield-Goshen,06320000,"           $2,668,311.87",             113.1,"              $23,592.50","           $2,814,970.87",             126.4,"              $22,270.34",
Chicopee,00610000,"         $117,727,912.25","           6,798.1","              $17,317.77","         $126,041,080.29","           7,424.2","              $16,977.06",
Christa McAuliffe Charter Public (District),04180000,"           $7,663,939.00",             398.7,"              $19,220.87","           $7,663,939.00",             398.7,"              $19,220.87",
City on a Hill Charter Public School Circuit Street (District),04370000,"           $7,303,808.00",             300.4,"              $24,310.37","           $7,303,808.00",             300.4,"              $24,310.37",
Clarksburg,00630000,"           $3,245,538.05",             189.8,"              $17,099.78","           $3,839,014.19",             232.4,"              $16,518.99",
Clinton,00640000,"          $28,562,061.00","           1,819.1","              $15,701.20","          $34,522,072.00","           2,143.9","              $16,102.46",
Codman Academy Charter Public (District),04380000,"           $9,699,252.25",             347.0,"              $27,954.15","           $9,699,252.25",             347.0,"              $27,954.15",
Cohasset,00650000,"          $27,706,941.54","           1,427.0","              $19,416.22","          $30,013,820.45","           1,462.3","              $20,525.08",
Collegiate Charter School of Lowell (District),35030000,"          $11,638,156.12","           1,019.3","              $11,417.68","          $11,638,156.12","           1,019.3","              $11,417.68",
Community Charter School of Cambridge (District),04360000,"           $8,016,854.12",             304.8,"              $26,306.33","           $8,016,854.12",             304.8,"              $26,306.33",
Community Day Charter Public School - Gateway (District),04260000,"           $6,930,484.25",             399.7,"              $17,339.22","           $6,930,484.25",             399.7,"              $17,339.22",
Community Day Charter Public School - Prospect (District),04400000,"           $7,554,065.13",             399.9,"              $18,891.77","           $7,554,065.13",             399.9,"              $18,891.77",
Community Day Charter Public School - R. Kingman Webster (District),04310000,"           $6,429,497.00",             399.7,"              $16,085.81","           $6,429,497.00",             399.7,"              $16,085.81",
Concord,00670000,"          $44,664,637.54","           2,012.8","              $22,190.30","          $47,417,412.46","           2,037.8","              $23,268.92",
Concord-Carlisle,06400000,"          $28,158,694.46","           1,315.4","              $21,406.94","          $31,459,341.82","           1,347.6","              $23,344.72",
Conservatory Lab Charter (District),04390000,"           $8,190,308.13",             454.8,"              $18,007.41","           $8,190,308.13",             454.8,"              $18,007.41",
Conway,00680000,"           $3,255,819.24",             127.0,"              $25,636.37","           $3,354,074.24",             135.4,"              $24,771.60",
Danvers,00710000,"          $56,884,218.45","           3,305.7","              $17,207.92","          $62,932,447.17","           3,429.8","              $18,348.72",
Dartmouth,00720000,"          $52,357,168.64","           3,444.0","              $15,202.43","          $57,034,176.01","           3,540.9","              $16,107.25",
Dedham,00730000,"          $58,086,447.55","           2,548.7","              $22,790.62","          $63,837,536.10","           2,658.7","              $24,010.81",
Deerfield,00740000,"           $6,773,034.85",             318.5,"              $21,265.42","           $7,208,920.07",             351.3,"              $20,520.69",
Dennis-Yarmouth,06450000,"          $60,383,164.57","           2,737.2","              $22,060.19","          $68,401,657.05","           3,299.9","              $20,728.40",
Dighton-Rehoboth,06500000,"          $42,162,312.57","           2,630.8","              $16,026.42","          $45,009,716.20","           2,721.6","              $16,537.96",
Douglas,00770000,"          $18,692,595.50","           1,148.4","              $16,277.08","          $21,439,599.19","           1,242.4","              $17,256.60",
Dover,00780000,"           $9,981,720.00",             482.0,"              $20,708.96","          $12,734,948.00",             492.8,"              $25,842.02",
Dover-Sherborn,06550000,"          $25,337,172.75","           1,177.7","              $21,514.11","          $26,660,633.75","           1,219.6","              $21,860.15",
Dracut,00790000,"          $48,183,666.71","           3,673.9","              $13,115.13","          $55,417,184.84","           4,056.6","              $13,660.99",
Dudley Street Neighborhood Charter School (District),04070000,"           $5,620,532.08",             279.5,"              $20,111.55","           $5,620,532.08",             279.5,"              $20,111.55",
Dudley-Charlton Reg,06580000,"          $53,536,862.47","           3,474.6","              $15,408.06","          $57,233,473.71","           3,587.5","              $15,953.58",
Duxbury,00820000,"          $49,039,791.21","           2,786.9","              $17,596.54","          $51,499,159.21","           2,844.7","              $18,103.55",
East Bridgewater,00830000,"          $30,471,933.55","           2,077.3","              $14,669.01","          $32,893,871.55","           2,170.4","              $15,155.67",
East Longmeadow,00870000,"          $41,403,591.37","           2,415.1","              $17,143.63","          $44,895,747.37","           2,493.6","              $18,004.39",
Eastham,00850000,"           $5,044,169.00",             189.4,"              $26,632.36","           $5,231,312.00",             205.6,"              $25,444.12",
Easthampton,00860000,"          $22,075,588.15","           1,428.1","              $15,458.01","          $27,563,959.48","           1,757.6","              $15,682.73",
Easton,00880000,"          $51,800,092.00","           3,399.4","              $15,238.01","          $55,847,780.75","           3,480.1","              $16,047.75",
Edgartown,00890000,"          $10,873,419.70",             387.4,"              $28,067.68","          $12,178,374.35",             439.6,"              $27,703.31",
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,"           $9,801,662.00",             394.7,"              $24,835.64","           $9,801,662.00",             394.7,"              $24,835.64",
Erving,00910000,"           $4,710,579.81",             117.3,"              $40,158.40","           $6,197,936.64",             213.9,"              $28,975.86",
Essex North Shore Agricultural and Technical School District,08170000,"          $31,381,123.55","           1,537.7","              $20,407.83","          $31,857,230.55","           1,549.7","              $20,557.03",
Everett,00930000,"         $112,588,271.40","           6,999.5","              $16,085.19","         $132,626,420.46","           7,781.2","              $17,044.47",
Excel Academy Charter (District),04100000,"          $27,284,356.75","           1,395.8","              $19,547.89","          $27,284,356.75","           1,395.8","              $19,547.89",
Fairhaven,00940000,"          $27,815,244.39","           1,900.8","              $14,633.44","          $30,134,077.96","           1,971.2","              $15,287.17",
Fall River,00950000,"         $171,466,464.00","          10,182.6","              $16,839.16","         $207,446,303.00","          12,271.3","              $16,905.00",
Falmouth,00960000,"          $68,041,618.24","           3,004.4","              $22,647.32","          $73,902,546.24","           3,231.7","              $22,868.01",
Farmington River Reg,06620000,"           $3,525,009.36",             113.5,"              $31,057.35","           $4,658,721.36",             242.2,"              $19,235.02",
Fitchburg,00970000,"          $78,861,999.27","           5,083.9","              $15,512.11","          $95,252,901.84","           5,829.9","              $16,338.69",
Florida,00980000,"           $1,761,492.07",              84.6,"              $20,821.42","           $1,935,881.75",              95.9,"              $20,186.46",
Four Rivers Charter Public (District),04130000,"           $4,374,687.00",             215.2,"              $20,324.69","           $4,374,687.00",             215.2,"              $20,324.69",
Foxborough,00990000,"          $47,346,335.29","           2,462.0","              $19,230.84","          $53,939,920.20","           2,615.8","              $20,620.81",
Foxborough Regional Charter (District),04460000,"          $26,045,590.75","           1,694.8","              $15,367.85","          $26,045,590.75","           1,694.8","              $15,367.85",
Framingham,01000000,"         $176,103,873.73","           8,690.7","              $20,263.49","         $202,448,898.73","           9,463.0","              $21,393.73",
Francis W. Parker Charter Essential (District),04780000,"           $7,669,396.19",             394.7,"              $19,432.43","           $7,669,396.19",             394.7,"              $19,432.43",
Franklin,01010000,"          $77,060,494.71","           4,821.8","              $15,981.69","          $90,620,844.71","           5,310.9","              $17,063.18",
Franklin County Regional Vocational Technical,08180000,"          $13,666,743.00",             540.2,"              $25,299.41","          $13,693,427.00",             545.4,"              $25,107.13",
Freetown-Lakeville,06650000,"          $40,084,574.00","           2,705.0","              $14,818.70","          $43,386,107.01","           2,816.9","              $15,402.08",
Frontier,06700000,"          $11,790,319.88",             647.8,"              $18,200.56","          $13,930,466.22",             737.5,"              $18,888.77",
Gardner,01030000,"          $33,261,033.21","           2,187.8","              $15,202.96","          $38,050,716.14","           2,462.1","              $15,454.58",
Gateway,06720000,"          $15,250,531.00",             756.0,"              $20,172.66","          $16,378,583.00",             859.2,"              $19,062.60",
Georgetown,01050000,"          $20,807,552.29","           1,222.7","              $17,017.71","          $22,832,784.57","           1,279.3","              $17,847.87",
Gill-Montague,06740000,"          $19,614,022.43",             850.3,"              $23,067.18","          $22,803,725.46","           1,139.0","              $20,020.83",
Global Learning Charter Public (District),04960000,"           $8,587,367.81",             500.4,"              $17,159.64","           $8,587,367.81",             500.4,"              $17,159.64",
Gloucester,01070000,"          $55,618,406.76","           2,768.3","              $20,091.18","          $62,406,172.45","           3,100.0","              $20,131.02",
Grafton,01100000,"          $45,843,209.43","           3,153.2","              $14,538.63","          $48,782,787.68","           3,268.1","              $14,926.96",
Granby,01110000,"          $11,932,542.00",             710.1,"              $16,804.03","          $13,120,991.00",             799.9,"              $16,403.29",
Greater Fall River Regional Vocational Technical,08210000,"          $31,044,112.00","           1,459.7","              $21,267.46","          $31,119,454.00","           1,472.4","              $21,135.19",
Greater Lawrence Regional Vocational Technical,08230000,"          $37,286,425.17","           1,606.1","              $23,215.51","          $37,373,907.17","           1,618.4","              $23,093.12",
Greater Lowell Regional Vocational Technical,08280000,"          $50,500,697.30","           2,323.0","              $21,739.43","          $50,695,821.30","           2,356.6","              $21,512.27",
Greater New Bedford Regional Vocational Technical,08250000,"          $47,416,664.45","           2,065.6","              $22,955.40","          $47,455,164.45","           2,073.3","              $22,888.71",
Greenfield,01140000,"          $27,776,189.91","           1,539.6","              $18,041.17","          $35,068,284.78","           1,946.3","              $18,017.92",
Greenfield Commonwealth Virtual District,39010000,"          $10,270,888.00","           1,022.6","              $10,043.60","          $10,270,888.00","           1,022.6","              $10,043.60",
Groton-Dunstable,06730000,"          $41,440,573.07","           2,256.4","              $18,365.79","          $44,875,682.07","           2,365.8","              $18,968.50",
Hadley,01170000,"           $8,615,487.95",             502.9,"              $17,131.61","          $10,766,908.08",             627.0,"              $17,172.10",
Halifax,01180000,"           $7,195,883.05",             570.8,"              $12,606.66","          $10,544,472.86",             614.2,"              $17,167.82",
Hamilton-Wenham,06750000,"          $31,172,170.57","           1,666.6","              $18,704.05","          $35,470,365.58","           1,726.5","              $20,544.67",
Hampden Charter School of Science East (District),04990000,"           $8,532,333.65",             537.0,"              $15,888.59","           $8,532,333.65",             537.0,"              $15,888.59",
Hampden Charter School of Science West (District),35160000,"           $4,909,946.00",             320.4,"              $15,326.82","           $4,909,946.00",             320.4,"              $15,326.82",
Hampden-Wilbraham,06800000,"          $48,002,473.00","           2,886.0","              $16,632.87","          $50,289,782.00","           2,963.3","              $16,970.87",
Hampshire,06830000,"          $14,958,995.60",             679.2,"              $22,024.43","          $17,059,925.02",             782.2,"              $21,810.18",
Hancock,01210000,"             $989,688.30",              54.6,"              $18,126.16","           $1,613,159.14",              98.1,"              $16,444.03",
Hanover,01220000,"          $37,460,810.70","           2,546.0","              $14,713.59","          $40,125,059.80","           2,627.9","              $15,268.87",
Harvard,01250000,"          $19,626,385.97","           1,008.1","              $19,468.69","          $22,236,955.75","           1,058.6","              $21,006.00",
Hatfield,01270000,"           $6,305,583.00",             396.2,"              $15,915.15","           $7,196,681.00",             472.7,"              $15,224.63",
Haverhill,01280000,"         $125,298,322.30","           7,773.7","              $16,118.23","         $141,167,506.03","           8,450.5","              $16,705.23",
Hawlemont,06850000,"           $2,476,769.55",             119.8,"              $20,674.20","           $2,674,091.55",             145.8,"              $18,340.82",
Helen Y. Davis Leadership Academy Charter Public (District),04190000,"           $3,805,900.00",             186.9,"              $20,362.21","           $3,805,900.00",             186.9,"              $20,362.21",
Hill View Montessori Charter Public (District),04550000,"           $4,790,730.43",             305.1,"              $15,700.62","           $4,790,730.43",             305.1,"              $15,700.62",
Hilltown Cooperative Charter Public (District),04500000,"           $3,451,158.99",             218.0,"              $15,831.00","           $3,451,158.99",             218.0,"              $15,831.00",
Hingham,01310000,"          $63,333,292.00","           3,877.5","              $16,333.54","          $68,543,560.00","           3,957.6","              $17,319.48",
Holbrook,01330000,"          $18,997,520.20","           1,264.7","              $15,021.36","          $22,215,706.48","           1,355.1","              $16,394.15",
Holland,01350000,"           $3,337,239.00",             198.9,"              $16,778.48","           $3,897,968.00",             212.4,"              $18,352.02",
Holliston,01360000,"          $40,459,641.82","           2,770.6","              $14,603.21","          $45,478,237.05","           2,874.3","              $15,822.37",
Holyoke,01370000,"          $98,333,119.41","           5,175.7","              $18,999.00","         $121,009,496.56","           6,460.1","              $18,731.83",
Holyoke Community Charter (District),04530000,"          $11,882,686.00",             700.8,"              $16,956.61","          $11,882,686.00",             700.8,"              $16,956.61",
Hoosac Valley Regional,06030000,"          $18,860,152.94","           1,013.8","              $18,603.43","          $20,999,373.28","           1,228.7","              $17,090.72",
Hopedale,01380000,"          $17,557,552.30","           1,095.0","              $16,034.29","          $19,113,503.30","           1,160.4","              $16,471.48",
Hopkinton,01390000,"          $60,732,572.27","           3,947.8","              $15,383.90","          $63,611,990.89","           4,008.3","              $15,870.07",
Hudson,01410000,"          $46,806,166.46","           2,424.4","              $19,306.29","          $53,220,728.04","           2,676.7","              $19,882.96",
Hull,01420000,"          $19,982,813.63",             801.2,"              $24,941.11","          $22,367,418.63",             855.2,"              $26,154.61",
Innovation Academy Charter (District),04350000,"          $13,287,375.00",             785.3,"              $16,920.56","          $13,287,375.00",             785.3,"              $16,920.56",
Ipswich,01440000,"          $32,139,697.81","           1,605.7","              $20,016.00","          $34,454,029.81","           1,665.5","              $20,686.90",
KIPP Academy Boston Charter School (District),04630000,"          $11,531,191.43",             621.4,"              $18,557.39","          $11,531,191.43",             621.4,"              $18,557.39",
KIPP Academy Lynn Charter (District),04290000,"          $31,583,183.45","           1,613.8","              $19,570.45","          $31,583,183.45","           1,613.8","              $19,570.45",
King Philip,06900000,"          $33,126,216.96","           1,929.3","              $17,170.07","          $40,117,360.80","           2,014.1","              $19,918.26",
Kingston,01450000,"          $13,169,368.96","           1,038.3","              $12,683.59","          $16,962,175.84","           1,101.8","              $15,394.97",
Lawrence,01490000,"         $223,780,648.64","          13,167.0","              $16,995.57","         $264,767,479.85","          15,279.1","              $17,328.74",
Lawrence Family Development Charter (District),04540000,"          $11,833,854.55",             793.9,"              $14,905.98","          $11,833,854.55",             793.9,"              $14,905.98",
Learning First Charter Public School (District),04860000,"          $10,283,140.00",             668.6,"              $15,381.26","          $10,283,140.00",             668.6,"              $15,381.26",
Lee,01500000,"          $14,354,816.00",             671.8,"              $21,367.69","          $15,276,566.00",             781.5,"              $19,547.75",
Leicester,01510000,"          $21,043,583.69","           1,372.2","              $15,335.65","          $24,548,706.69","           1,530.5","              $16,039.66",
Lenox,01520000,"          $16,282,229.54",             744.7,"              $21,864.15","          $16,730,753.54",             791.5,"              $21,138.03",
Leominster,01530000,"          $83,427,036.30","           5,829.0","              $14,312.41","          $94,922,537.75","           6,253.6","              $15,178.86",
Leverett,01540000,"           $2,840,313.04",             116.6,"              $24,359.46","           $2,953,762.04",             125.2,"              $23,592.35",
Lexington,01550000,"         $137,855,051.85","           6,884.1","              $20,025.14","         $150,614,599.59","           7,001.6","              $21,511.45",
Libertas Academy Charter School (District),35140000,"           $5,621,686.00",             255.4,"              $22,013.02","           $5,621,686.00",             255.4,"              $22,013.02",
Lincoln,01570000,"          $28,847,243.36","           1,075.9","              $26,812.20","          $31,438,183.36","           1,115.3","              $28,188.10",
Lincoln-Sudbury,06950000,"          $31,226,602.76","           1,491.6","              $20,934.97","          $37,563,584.76","           1,561.2","              $24,060.71",
Littleton,01580000,"          $25,432,345.00","           1,563.5","              $16,266.29","          $29,731,580.00","           1,672.4","              $17,777.79",
Longmeadow,01590000,"          $43,995,851.95","           2,753.4","              $15,978.74","          $46,904,828.15","           2,807.9","              $16,704.59",
Lowell,01600000,"         $231,735,503.35","          13,964.8","              $16,594.26","         $270,614,931.37","          16,263.5","              $16,639.40",
Lowell Community Charter Public (District),04560000,"          $13,605,032.11",             803.8,"              $16,926.95","          $13,605,032.11",             803.8,"              $16,926.95",
Lowell Middlesex Academy Charter (District),04580000,"           $2,027,681.89",              83.9,"              $24,167.84","           $2,027,681.89",              83.9,"              $24,167.84",
Ludlow,01610000,"          $41,364,522.98","           2,367.9","              $17,468.86","          $44,937,642.67","           2,487.0","              $18,069.02",
Lunenburg,01620000,"          $23,949,443.25","           1,575.5","              $15,201.17","          $25,836,968.07","           1,699.7","              $15,200.90",
Lynn,01630000,"         $248,625,847.52","          15,549.5","              $15,989.31","         $290,774,849.52","          17,774.1","              $16,359.47",
Lynnfield,01640000,"          $36,702,225.69","           2,172.7","              $16,892.45","          $38,713,076.69","           2,204.8","              $17,558.54",
MATCH Charter Public School (District),04690000,"          $29,407,847.00","           1,223.5","              $24,035.64","          $29,407,847.00","           1,223.5","              $24,035.64",
Malden,01650000,"          $96,343,422.32","           6,020.7","              $16,002.03","         $116,104,612.60","           6,932.6","              $16,747.63",
Manchester Essex Regional,06980000,"          $26,527,248.79","           1,265.6","              $20,960.22","          $28,317,397.15","           1,300.6","              $21,772.56",
Mansfield,01670000,"          $64,522,781.05","           3,498.3","              $18,444.04","          $70,712,659.10","           3,639.1","              $19,431.36",
Map Academy Charter School (District),35170000,"           $3,558,660.36",             197.2,"              $18,045.03","           $3,558,660.36",             197.2,"              $18,045.03",
Marblehead,01680000,"          $50,920,947.22","           2,698.5","              $18,870.09","          $56,047,389.22","           2,865.7","              $19,558.01",
Marblehead Community Charter Public (District),04640000,"           $3,999,448.81",             210.9,"              $18,964.62","           $3,999,448.81",             210.9,"              $18,964.62",
Marion,01690000,"           $7,388,254.00",             391.9,"              $18,852.40","           $8,011,996.00",             406.6,"              $19,704.86",
Marlborough,01700000,"          $84,803,745.18","           4,695.1","              $18,062.18","          $98,149,605.57","           5,365.8","              $18,291.70",
Marshfield,01710000,"          $59,752,257.90","           3,784.4","              $15,789.10","          $64,488,978.82","           3,902.1","              $16,526.74",
Martha's Vineyard,07000000,"          $22,174,980.00",             676.3,"              $32,788.67","          $25,252,351.00",             729.6,"              $34,611.23",
Martha's Vineyard Charter (District),04660000,"           $5,904,538.00",             168.3,"              $35,079.24","           $5,904,538.00",             168.3,"              $35,079.24",
Martin Luther King Jr. Charter School of Excellence (District),04920000,"           $6,931,602.94",             362.6,"              $19,115.86","           $6,931,602.94",             362.6,"              $19,115.86",
Masconomet,07050000,"          $34,259,323.53","           1,667.7","              $20,542.86","          $38,399,261.03","           1,733.5","              $22,151.29",
Mashpee,01720000,"          $31,730,745.00","           1,474.4","              $21,521.12","          $34,960,857.00","           1,656.1","              $21,110.35",
Mattapoisett,01730000,"           $9,024,915.00",             398.0,"              $22,675.67","           $9,660,846.00",             408.0,"              $23,678.54",
Maynard,01740000,"          $23,699,030.18","           1,173.7","              $20,191.73","          $28,556,760.87","           1,344.9","              $21,233.37",
Medfield,01750000,"          $43,950,855.94","           2,482.9","              $17,701.42","          $46,270,124.94","           2,509.9","              $18,435.05",
Medford,01760000,"          $80,685,085.65","           3,943.0","              $20,462.87","          $93,080,821.80","           4,473.0","              $20,809.48",
