2020Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Brooke Charter School (District),04280000,"          $40,557,158.26","           1,970.7","              $20,580.39","          $40,557,158.26","           1,970.7","              $20,580.39",
Brookfield,00450000,"           $4,132,919.00",             311.4,"              $13,272.06","           $4,468,580.00",             320.8,"              $13,929.49",
Brookline,00460000,"         $161,618,859.00","           7,830.7","              $20,639.13","         $168,443,506.00","           7,905.6","              $21,306.86",
Burlington,00480000,"          $73,138,783.45","           3,517.4","              $20,793.42","          $82,653,523.55","           3,625.2","              $22,799.71",
Cambridge,00490000,"         $205,669,429.95","           7,104.4","              $28,949.58","         $241,963,661.99","           7,768.6","              $31,146.37",
Canton,00500000,"          $53,558,689.80","           3,294.3","              $16,257.99","          $61,050,697.80","           3,374.8","              $18,090.17",
Cape Cod Lighthouse Charter (District),04320000,"           $4,701,476.42",             242.8,"              $19,365.17","           $4,701,476.42",             242.8,"              $19,365.17",
Cape Cod Regional Vocational Technical,08150000,"          $15,470,292.00",             608.5,"              $25,423.65","          $15,534,768.00",             618.7,"              $25,108.72",
Carlisle,00510000,"          $11,827,694.38",             602.3,"              $19,637.55","          $12,783,670.00",             617.3,"              $20,709.01",
Carver,00520000,"          $23,409,680.60","           1,584.5","              $14,774.18","          $26,347,752.60","           1,679.0","              $15,692.53",
Central Berkshire,06350000,"          $25,902,058.00","           1,576.3","              $16,432.19","          $28,937,440.00","           1,801.3","              $16,064.75",
Chelmsford,00560000,"          $73,615,432.48","           5,035.0","              $14,620.74","          $82,333,181.48","           5,257.9","              $15,658.95",
Chelsea,00570000,"          $95,301,604.09","           6,257.4","              $15,230.22","         $125,105,654.29","           7,425.8","              $16,847.43",
Chesterfield-Goshen,06320000,"           $2,581,107.44",             129.6,"              $19,915.95","           $2,669,106.44",             144.4,"              $18,484.12",
Chicopee,00610000,"         $115,791,406.46","           7,281.2","              $15,902.79","         $124,440,408.62","           7,882.5","              $15,786.92",
Christa McAuliffe Charter Public (District),04180000,"           $7,543,119.00",             396.3,"              $19,035.30","           $7,543,119.00",             396.3,"              $19,035.30",
City on a Hill Charter Public School Circuit Street (District),04370000,"           $5,772,128.35",             216.3,"              $26,680.82","           $5,772,128.35",             216.3,"              $26,680.82",
City on a Hill Charter Public School Dudley Square (District),35040000,"           $4,205,439.57",             188.1,"              $22,353.90","           $4,205,439.57",             188.1,"              $22,353.90",
City on a Hill Charter Public School New Bedford (District),35070000,"           $2,804,393.64",             102.6,"              $27,327.94","           $2,804,393.64",             102.6,"              $27,327.94",
Clarksburg,00630000,"           $2,915,153.14",             194.0,"              $15,026.56","           $3,413,356.65",             233.4,"              $14,624.49",
Clinton,00640000,"          $26,753,308.25","           1,905.9","              $14,037.10","          $33,159,290.18","           2,234.0","              $14,843.01",
Codman Academy Charter Public (District),04380000,"           $8,893,398.87",             339.9,"              $26,163.98","           $8,893,398.87",             339.9,"              $26,163.98",
Cohasset,00650000,"          $26,164,180.63","           1,505.9","              $17,374.45","          $28,320,552.62","           1,540.3","              $18,386.39",
Collegiate Charter School of Lowell (District),35030000,"          $10,074,290.53",             929.9,"              $10,833.27","          $10,074,290.53",             929.9,"              $10,833.27",
Community Charter School of Cambridge (District),04360000,"           $7,727,559.00",             318.9,"              $24,228.88","           $7,727,559.00",             318.9,"              $24,228.88",
Community Day Charter Public School - Gateway (District),04260000,"           $6,489,033.00",             400.2,"              $16,213.66","           $6,489,033.00",             400.2,"              $16,213.66",
Community Day Charter Public School - Prospect (District),04400000,"           $7,006,651.00",             399.8,"              $17,525.39","           $7,006,651.00",             399.8,"              $17,525.39",
Community Day Charter Public School - R. Kingman Webster (District),04310000,"           $6,061,644.00",             400.0,"              $15,155.25","           $6,061,644.00",             400.0,"              $15,155.25",
Concord,00670000,"          $43,081,789.50","           2,105.4","              $20,462.52","          $45,928,979.50","           2,136.4","              $21,498.31",
Concord-Carlisle,06400000,"          $27,277,954.88","           1,281.2","              $21,290.94","          $30,853,560.88","           1,322.2","              $23,335.02",
Conservatory Lab Charter (District),04390000,"           $8,250,841.73",             452.8,"              $18,221.42","           $8,250,841.73",             452.8,"              $18,221.42",
Conway,00680000,"           $3,171,831.32",             133.7,"              $23,723.50","           $3,249,228.32",             141.9,"              $22,898.01",
Danvers,00710000,"          $58,874,210.60","           3,412.7","              $17,251.50","          $65,049,747.60","           3,538.2","              $18,384.98",
Dartmouth,00720000,"          $50,037,306.75","           3,591.4","              $13,932.54","          $54,281,323.91","           3,676.1","              $14,766.01",
Dedham,00730000,"          $54,787,486.10","           2,745.3","              $19,956.83","          $60,482,761.75","           2,843.7","              $21,269.04",
Deerfield,00740000,"           $6,807,413.46",             390.3,"              $17,441.49","           $7,146,411.66",             422.8,"              $16,902.58",
Dennis-Yarmouth,06450000,"          $53,582,024.00","           2,898.5","              $18,486.12","          $63,460,633.77","           3,515.9","              $18,049.61",
Dighton-Rehoboth,06500000,"          $40,295,408.09","           2,857.6","              $14,101.14","          $43,236,973.04","           2,938.3","              $14,714.96",
Douglas,00770000,"          $18,547,675.63","           1,284.6","              $14,438.48","          $21,512,112.07","           1,370.1","              $15,701.13",
Dover,00780000,"           $9,580,493.00",             493.7,"              $19,405.50","          $12,123,910.00",             498.7,"              $24,311.03",
Dover-Sherborn,06550000,"          $24,762,314.38","           1,204.7","              $20,554.76","          $26,075,007.38","           1,252.0","              $20,826.68",
Dracut,00790000,"          $42,222,638.17","           3,709.6","              $11,381.99","          $49,830,013.46","           4,079.0","              $12,216.23",
Dudley Street Neighborhood Charter School (District),04070000,"           $5,021,878.70",             265.5,"              $18,912.03","           $5,021,878.70",             265.5,"              $18,912.03",
Dudley-Charlton Reg,06580000,"          $49,663,222.83","           3,716.8","              $13,361.82","          $53,361,123.68","           3,829.2","              $13,935.32",
Duxbury,00820000,"          $47,335,618.65","           2,969.9","              $15,938.46","          $50,530,581.65","           3,032.5","              $16,663.01",
East Bridgewater,00830000,"          $28,260,456.00","           2,216.0","              $12,752.91","          $31,033,614.00","           2,309.3","              $13,438.54",
East Longmeadow,00870000,"          $40,563,614.50","           2,595.1","              $15,630.85","          $44,383,945.50","           2,686.4","              $16,521.72",
Eastham,00850000,"           $4,702,341.00",             198.4,"              $23,701.32","           $4,890,365.00",             218.3,"              $22,402.04",
Easthampton,00860000,"          $21,591,067.42","           1,542.5","              $13,997.45","          $27,479,011.28","           1,868.7","              $14,704.88",
Easton,00880000,"          $49,938,548.62","           3,594.9","              $13,891.50","          $54,571,050.59","           3,687.7","              $14,798.13",
Edgartown,00890000,"          $10,850,729.12",             403.4,"              $26,898.19","          $11,893,467.12",             461.9,"              $25,749.01",
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,"           $9,566,427.00",             377.8,"              $25,320.73","           $9,566,427.00",             377.8,"              $25,320.73",
Erving,00910000,"           $4,491,959.43",             133.2,"              $33,723.42","           $6,051,767.43",             229.7,"              $26,346.40",
Essex North Shore Agricultural and Technical School District,08170000,"          $29,162,560.66","           1,483.5","              $19,657.94","          $29,615,028.66","           1,491.0","              $19,862.53",
Everett,00930000,"         $104,873,528.00","           7,143.3","              $14,681.38","         $123,763,644.00","           7,932.1","              $15,602.88",
Excel Academy Charter (District),04100000,"          $24,936,594.93","           1,355.2","              $18,401.22","          $24,936,594.93","           1,355.2","              $18,401.22",
Fairhaven,00940000,"          $25,683,043.64","           2,040.0","              $12,589.73","          $28,019,320.08","           2,103.5","              $13,320.33",
Fall River,00950000,"         $163,339,073.50","          10,371.6","              $15,748.69","         $198,022,592.04","          12,440.8","              $15,917.19",
Falmouth,00960000,"          $61,745,747.44","           3,246.2","              $19,020.93","          $67,903,584.44","           3,475.1","              $19,540.04",
Farmington River Reg,06620000,"           $3,334,862.16",             114.0,"              $29,253.18","           $4,601,153.05",             255.2,"              $18,029.60",
Fitchburg,00970000,"          $77,838,773.23","           5,315.3","              $14,644.29","          $93,946,709.23","           6,054.8","              $15,516.07",
Florida,00980000,"           $1,835,797.76",              94.8,"              $19,364.96","           $2,055,966.59",             112.3,"              $18,307.81",
Four Rivers Charter Public (District),04130000,"           $4,061,988.00",             216.0,"              $18,808.98","           $4,061,988.00",             216.0,"              $18,808.98",
Foxborough,00990000,"          $46,153,471.57","           2,552.2","              $18,083.80","          $51,732,040.52","           2,704.8","              $19,126.01",
Foxborough Regional Charter (District),04460000,"          $24,172,722.74","           1,642.7","              $14,715.24","          $24,172,722.74","           1,642.7","              $14,715.24",
Framingham,01000000,"         $168,864,615.00","           9,202.1","              $18,350.66","         $194,503,804.00","           9,920.3","              $19,606.65",
Francis W. Parker Charter Essential (District),04780000,"           $7,335,367.65",             396.5,"              $18,501.23","           $7,335,367.65",             396.5,"              $18,501.23",
Franklin,01010000,"          $74,690,506.62","           5,081.8","              $14,697.65","          $88,303,921.50","           5,571.1","              $15,850.36",
Franklin County Regional Vocational Technical,08180000,"          $12,725,174.00",             496.2,"              $25,645.25","          $12,752,434.00",             501.0,"              $25,453.96",
Freetown-Lakeville,06650000,"          $36,765,837.00","           2,829.1","              $12,995.59","          $40,050,857.00","           2,926.3","              $13,686.52",
Frontier,06700000,"          $11,318,869.92",             654.5,"              $17,293.92","          $13,497,052.99",             751.0,"              $17,972.11",
Gardner,01030000,"          $32,923,711.93","           2,332.7","              $14,113.99","          $36,106,498.82","           2,626.0","              $13,749.62",
Gateway,06720000,"          $15,550,968.89",             827.9,"              $18,783.63","          $16,657,248.89",             937.4,"              $17,769.63",
Georgetown,01050000,"          $19,905,464.24","           1,328.2","              $14,986.80","          $21,872,939.68","           1,383.3","              $15,812.14",
Gill-Montague,06740000,"          $18,415,239.43",             933.2,"              $19,733.43","          $22,034,926.19","           1,257.1","              $17,528.38",
Global Learning Charter Public (District),04960000,"           $8,249,528.00",             502.4,"              $16,419.59","           $8,249,528.00",             502.4,"              $16,419.59",
Gloucester,01070000,"          $51,159,371.92","           2,875.1","              $17,793.95","          $57,451,422.83","           3,219.8","              $17,843.17",
Grafton,01100000,"          $41,977,675.49","           3,215.1","              $13,056.41","          $44,916,138.46","           3,310.6","              $13,567.37",
Granby,01110000,"          $11,053,134.43",             759.5,"              $14,553.17","          $12,048,438.43",             851.0,"              $14,157.98",
Greater Fall River Regional Vocational Technical,08210000,"          $28,305,563.00","           1,466.5","              $19,301.44","          $28,396,203.00","           1,484.5","              $19,128.46",
Greater Lawrence Regional Vocational Technical,08230000,"          $36,468,147.13","           1,585.6","              $22,999.59","          $36,550,706.40","           1,593.5","              $22,937.37",
Greater Lowell Regional Vocational Technical,08280000,"          $47,941,532.00","           2,296.7","              $20,874.09","          $48,146,037.00","           2,332.4","              $20,642.27",
Greater New Bedford Regional Vocational Technical,08250000,"          $45,632,738.33","           2,111.6","              $21,610.50","          $45,663,080.33","           2,117.5","              $21,564.62",
Greenfield,01140000,"          $29,266,992.00","           1,737.2","              $16,847.22","          $36,378,451.00","           2,173.1","              $16,740.35",
Greenfield Commonwealth Virtual District,39010000,"           $7,617,579.00",             719.0,"              $10,595.13","           $7,617,579.00",             719.0,"              $10,595.13",
Groton-Dunstable,06730000,"          $38,274,794.00","           2,360.9","              $16,211.95","          $42,080,220.00","           2,472.4","              $17,019.99",
Hadley,01170000,"           $8,916,874.75",             535.7,"              $16,645.28","          $10,923,120.58",             663.9,"              $16,452.96",
Halifax,01180000,"           $6,929,563.04",             590.4,"              $11,737.06","           $9,875,768.95",             623.0,"              $15,851.96",
Hamilton-Wenham,06750000,"          $30,939,961.13","           1,829.0","              $16,916.33","          $35,421,785.00","           1,891.7","              $18,724.84",
Hampden Charter School of Science East (District),04990000,"           $7,868,648.16",             525.1,"              $14,986.19","           $7,868,648.16",             525.1,"              $14,986.19",
Hampden Charter School of Science West (District),35160000,"           $4,273,905.10",             258.6,"              $16,529.01","           $4,273,905.10",             258.6,"              $16,529.01",
Hampden-Wilbraham,06800000,"          $47,440,147.85","           3,014.6","              $15,736.80","          $49,879,189.85","           3,081.8","              $16,185.08",
Hampshire,06830000,"          $13,428,962.94",             733.3,"              $18,313.05","          $15,231,756.94",             826.2,"              $18,435.92",
Hancock,01210000,"             $897,387.07",              47.0,"              $19,093.34","           $1,635,374.35",              97.2,"              $16,824.84",
Hanover,01220000,"          $38,127,385.15","           2,662.4","              $14,320.68","          $40,832,752.22","           2,738.2","              $14,912.26",
Harvard,01250000,"          $19,837,038.16","           1,051.6","              $18,863.67","          $22,154,992.03","           1,097.0","              $20,195.98",
Hatfield,01270000,"           $6,228,025.78",             432.5,"              $14,400.06","           $7,082,139.00",             514.1,"              $13,775.80",
Haverhill,01280000,"         $114,375,166.73","           8,123.0","              $14,080.41","         $128,697,152.17","           8,793.2","              $14,635.99",
Hawlemont,06850000,"           $2,665,026.55",             142.7,"              $18,675.73","           $2,760,550.02",             160.7,"              $17,178.28",
Helen Y. Davis Leadership Academy Charter Public (District),04190000,"           $4,064,727.00",             201.5,"              $20,169.34","           $4,064,727.00",             201.5,"              $20,169.34",
Hill View Montessori Charter Public (District),04550000,"           $4,565,108.39",             312.5,"              $14,608.35","           $4,565,108.39",             312.5,"              $14,608.35",
Hilltown Cooperative Charter Public (District),04500000,"           $3,836,642.60",             217.9,"              $17,610.59","           $3,836,642.60",             217.9,"              $17,610.59",
Hingham,01310000,"          $60,647,648.00","           4,254.4","              $14,255.28","          $66,240,655.00","           4,331.2","              $15,293.83",
Holbrook,01330000,"          $17,924,832.07","           1,305.6","              $13,729.19","          $21,894,518.35","           1,400.8","              $15,630.01",
Holland,01350000,"           $3,230,854.00",             229.1,"              $14,102.37","           $3,734,228.00",             235.6,"              $15,849.86",
Holliston,01360000,"          $40,384,195.77","           2,919.7","              $13,831.63","          $45,368,085.70","           3,014.6","              $15,049.45",
Holyoke,01370000,"          $94,655,533.91","           5,338.0","              $17,732.40","         $120,169,560.57","           6,699.1","              $17,938.16",
Holyoke Community Charter (District),04530000,"          $11,198,245.68",             701.2,"              $15,969.66","          $11,198,245.68",             701.2,"              $15,969.66",
Hoosac Valley Regional,06030000,"          $18,226,863.14","           1,112.6","              $16,382.22","          $20,688,745.91","           1,337.1","              $15,472.85",
Hopedale,01380000,"          $17,079,976.12","           1,092.9","              $15,628.12","          $18,970,288.54","           1,174.7","              $16,149.05",
Hopkinton,01390000,"          $55,558,742.02","           3,872.7","              $14,346.26","          $58,501,853.19","           3,948.1","              $14,817.72",
Hudson,01410000,"          $44,205,614.28","           2,609.9","              $16,937.67","          $50,601,612.10","           2,813.6","              $17,984.65",
Hull,01420000,"          $18,821,282.29",             854.7,"              $22,020.92","          $21,524,466.29",             918.7,"              $23,429.27",
Innovation Academy Charter (District),04350000,"          $12,758,632.00",             794.9,"              $16,050.61","          $12,758,632.00",             794.9,"              $16,050.61",
Ipswich,01440000,"          $30,028,715.29","           1,679.6","              $17,878.49","          $32,498,022.29","           1,740.3","              $18,673.80",
KIPP Academy Boston Charter School (District),04630000,"          $10,676,360.00",             595.2,"              $17,937.13","          $10,676,360.00",             595.2,"              $17,937.13",
KIPP Academy Lynn Charter (District),04290000,"          $28,788,516.60","           1,595.0","              $18,049.45","          $28,788,516.60","           1,595.0","              $18,049.45",
King Philip,06900000,"          $30,943,195.54","           1,978.6","              $15,638.93","          $38,167,895.30","           2,062.6","              $18,504.75",
Kingston,01450000,"          $12,846,161.94","           1,073.5","              $11,966.62","          $17,153,448.97","           1,113.9","              $15,399.45",
Lawrence,01490000,"         $208,626,029.99","          13,586.7","              $15,355.17","         $251,881,053.24","          15,744.1","              $15,998.44",
Lawrence Family Development Charter (District),04540000,"          $11,563,961.00",             778.0,"              $14,864.47","          $11,563,961.00",             778.0,"              $14,864.47",
Lee,01500000,"          $13,334,526.54",             711.5,"              $18,741.43","          $14,427,343.23",             825.4,"              $17,479.21",
Leicester,01510000,"          $20,145,931.78","           1,488.3","              $13,536.20","          $23,987,213.38","           1,655.2","              $14,492.03",
Lenox,01520000,"          $15,116,329.88",             781.1,"              $19,352.62","          $15,758,827.88",             821.1,"              $19,192.34",
Leominster,01530000,"          $83,299,058.00","           6,061.1","              $13,743.22","          $94,308,326.00","           6,501.5","              $14,505.63",
Leverett,01540000,"           $2,705,946.79",             141.8,"              $19,082.84","           $2,873,165.79",             154.1,"              $18,644.81",
Lexington,01550000,"         $132,530,353.00","           7,212.0","              $18,376.37","         $143,966,810.00","           7,337.7","              $19,620.15",
Libertas Academy Charter School (District),35140000,"           $4,971,114.01",             259.7,"              $19,141.02","           $4,971,114.01",             259.7,"              $19,141.02",
Lincoln,01570000,"          $28,337,649.61","           1,132.4","              $25,024.42","          $30,458,590.61","           1,169.9","              $26,035.21",
Lincoln-Sudbury,06950000,"          $30,084,710.45","           1,509.7","              $19,927.61","          $34,882,541.28","           1,568.2","              $22,243.68",
Littleton,01580000,"          $24,769,014.00","           1,667.2","              $14,856.65","          $29,653,389.00","           1,782.6","              $16,634.91",
Longmeadow,01590000,"          $42,776,359.65","           2,862.6","              $14,943.18","          $45,169,756.42","           2,908.1","              $15,532.39",
Lowell,01600000,"         $217,291,797.22","          14,458.8","              $15,028.34","         $254,502,712.13","          16,705.3","              $15,234.85",
Lowell Community Charter Public (District),04560000,"          $13,761,350.57",             813.8,"              $16,909.78","          $13,761,350.57",             813.8,"              $16,909.78",
Lowell Middlesex Academy Charter (District),04580000,"           $2,096,169.57",              97.1,"              $21,585.52","           $2,096,169.57",              97.1,"              $21,585.52",
Ludlow,01610000,"          $43,130,241.52","           2,539.3","              $16,985.09","          $46,699,614.83","           2,667.8","              $17,504.92",
Lunenburg,01620000,"          $22,202,697.44","           1,651.3","              $13,445.59","          $24,459,626.40","           1,772.8","              $13,797.17",
Lynn,01630000,"         $230,716,489.00","          15,997.7","              $14,421.85","         $271,287,693.50","          18,193.8","              $14,911.00",
Lynnfield,01640000,"          $35,067,110.00","           2,211.5","              $15,856.71","          $37,127,471.00","           2,241.3","              $16,565.15",
MATCH Charter Public School (District),04690000,"          $27,673,158.00","           1,216.3","              $22,752.85","          $27,673,158.00","           1,216.3","              $22,752.85",
Malden,01650000,"          $94,659,844.44","           6,433.8","              $14,712.90","         $115,382,443.85","           7,401.2","              $15,589.69",
Manchester Essex Regional,06980000,"          $25,244,019.66","           1,371.2","              $18,410.17","          $27,047,349.84","           1,408.7","              $19,200.22",
Mansfield,01670000,"          $61,455,833.77","           3,672.5","              $16,734.06","          $67,442,825.39","           3,804.7","              $17,726.19",
Map Academy Charter School (District),35170000,"           $2,905,314.23",             162.5,"              $17,878.86","           $2,905,314.23",             162.5,"              $17,878.86",
Marblehead,01680000,"          $49,768,715.32","           2,969.3","              $16,761.09","          $55,787,478.59","           3,139.5","              $17,769.54",
Marblehead Community Charter Public (District),04640000,"           $3,672,672.57",             206.2,"              $17,814.67","           $3,672,672.57",             206.2,"              $17,814.67",
Marion,01690000,"           $6,977,585.08",             435.3,"              $16,029.37","           $7,560,587.08",             444.3,"              $17,016.85",
Marlborough,01700000,"          $79,585,000.99","           4,792.0","              $16,607.89","          $94,688,521.20","           5,525.8","              $17,135.71",
Marshfield,01710000,"          $58,291,122.53","           3,961.3","              $14,715.15","          $63,529,389.28","           4,059.2","              $15,650.72",
Martha's Vineyard,07000000,"          $20,609,941.03",             670.6,"              $30,733.58","          $23,257,918.65",             712.4,"              $32,647.27",
Martha's Vineyard Charter (District),04660000,"           $5,495,191.00",             173.0,"              $31,760.44","           $5,495,191.00",             173.0,"              $31,760.44",
Martin Luther King Jr. Charter School of Excellence (District),04920000,"           $6,729,911.07",             363.6,"              $18,508.60","           $6,729,911.07",             363.6,"              $18,508.60",
Masconomet,07050000,"          $32,605,830.33","           1,719.8","              $18,959.08","          $36,275,518.51","           1,766.4","              $20,536.41",
Mashpee,01720000,"          $30,574,185.25","           1,579.9","              $19,351.97","          $33,941,581.26","           1,754.9","              $19,341.03",
Mattapoisett,01730000,"           $8,562,532.00",             438.9,"              $19,509.07","           $9,315,178.60",             445.9,"              $20,890.73",
